taxon,lineage
Australia/VIC390/2020,B.6
Australia/VIC819/2020,B.6
India/NCDC-2535/2020,B.6
India/NCDC-3163/2020,B.6
India/NCDC-4138/2020,B.6
India/NCDC-4155/2020,B.6
India_CCMB/J390/2020,B.6
Australia/VIC913/2020,B.6
Malaysia/189332/2020,B.6
Singapore/59/2020,B.6
Singapore/58/2020,B.6
Singapore/329/2020,B.6
Singapore/192/2020,B.6
Singapore/290/2020,B.6
Singapore/332/2020,B.6
Singapore/334/2020,B.6
Singapore/336/2020,B.6
Singapore/61/2020,B.6
Singapore/69/2020,B.6
Singapore/328/2020,B.6
Singapore/53/2020,B.6
Singapore/54/2020,B.6
Singapore/56/2020,B.6
Singapore/76/2020,B.6
Singapore/77/2020,B.6
Singapore/363/2020,B.6
Singapore/80/2020,B.6
Singapore/86/2020,B.6
Singapore/100/2020,B.6
Singapore/153/2020,B.6
Singapore/171/2020,B.6
Singapore/184/2020,B.6
Singapore/193/2020,B.6
Singapore/194/2020,B.6
Singapore/197/2020,B.6
Singapore/198/2020,B.6
Singapore/199/2020,B.6
Singapore/204/2020,B.6
Singapore/208/2020,B.6
Singapore/209/2020,B.6
Singapore/207/2020,B.6
Singapore/213/2020,B.6
Singapore/279/2020,B.6
Singapore/333/2020,B.6
Singapore/330/2020,B.6
Singapore/236/2020,B.6
Singapore/244/2020,B.6
Singapore/390/2020,B.6
Singapore/254/2020,B.6
Singapore/275/2020,B.6
Singapore/293/2020,B.6
Singapore/294/2020,B.6
Singapore/309/2020,B.6
Singapore/310/2020,B.6
Singapore/326/2020,B.6
Singapore/331/2020,B.6
Singapore/340/2020,B.6
Singapore/341/2020,B.6
Singapore/346/2020,B.6
Singapore/347/2020,B.6
Singapore/360/2020,B.6
Singapore/359/2020,B.6
Singapore/364/2020,B.6
Singapore/388/2020,B.6
Singapore/392/2020,B.6
Singapore/398/2020,B.6
Singapore/404/2020,B.6
Singapore/72/2020,B.6
Singapore/60/2020,B.6
Singapore/62/2020,B.6
Singapore/256/2020,B.6
Singapore/64/2020,B.6
Singapore/63/2020,B.6
Singapore/120/2020,B.6
Singapore/196/2020,B.6
Singapore/276/2020,B.6
Singapore/306/2020,B.6
Singapore/190/2020,B.6
Singapore/66/2020,B.6
Singapore/135/2020,B.6
India/NIV-7786/2020,B.6
Singapore/238/2020,B.6
Singapore/234/2020,B.6
Singapore/168/2020,B.6
Singapore/299/2020,B.6
Singapore/149/2020,B.6
Singapore/365/2020,B.6
Singapore/362/2020,B.6
Singapore/124/2020,B.6
Singapore/284/2020,B.6
Singapore/393/2020,B.6
Singapore/65/2020,B.6
Singapore/68/2020,B.6
Singapore/67/2020,B.6
Singapore/70/2020,B.6
Singapore/71/2020,B.6
Singapore/55/2020,B.6
Singapore/57/2020,B.6
Australia/VIC59/2020,B.6
Australia/VIC961/2020,B.6
Australia/VIC1016/2020,B.6
Singapore/42/2020,B.6
Singapore/40/2020,B.6
Singapore/41/2020,B.6
Singapore/344/2020,B.6
Singapore/348/2020,B.6
Singapore/349/2020,B.6
Singapore/366/2020,B.6
India/NCDC-02323/2020,B.6
Singapore/200/2020,B.6
India/NCDC-02326/2020,B.6
India/NCDC-02245/2020,B.6
India/NCDC-3170/2020,B.6
India/NCDC-3195/2020,B.6
India/S9/2020,B.6
India_CCMB/K600B/2020,B.6
India_CCMB/J318/2020,B.6
India/NIV-6423/2020,B.6
Singapore/73/2020,B.6
Singapore/81/2020,B.6
Singapore/224/2020,B.6
Singapore/303/2020,B.6
Singapore/312/2020,B.6
Singapore/355/2020,B.6
Singapore/202/2020,B.6
Singapore/337/2020,B.6
Singapore/339/2020,B.6
Singapore/382/2020,B.6
Singapore/403/2020,B.6
Singapore/223/2020,B.6
Singapore/74/2020,B.6
Singapore/75/2020,B.6
Singapore/78/2020,B.6
Singapore/98/2020,B.6
Singapore/261/2020,B.6
Singapore/263/2020,B.6
