taxon,lineage
Thailand/Bangkok-0019/2020,A.6
Thailand/NIH-2492/2020,A.6
Thailand/Bangkok-0034/2020,A.6
Thailand/Bangkok-0035/2020,A.6
Thailand/Bangkok-0037/2020,A.6
Thailand/Bangkok-0040/2020,A.6
Thailand/Bangkok-0041/2020,A.6
Thailand/Bangkok-0026/2020,A.6
Thailand/Bangkok-0025/2020,A.6
Thailand/Bangkok-0029/2020,A.6
Thailand/Bangkok-0028/2020,A.6
Thailand/NIH-2296/2020,A.6
Thailand/NIH-2420/2020,A.6
Thailand/NIH-2472/2020,A.6
Thailand/NIH-2489/2020,A.6
Thailand/NIH-2492-2/2020,A.6
Thailand/NIH-2720/2020,A.6
Thailand/NIH-2721/2020,A.6
Thailand/NIH-2980/2020,A.6
Thailand/SI206917-NT/2020,A.6
Thailand/SI206587-NT/2020,A.6
Thailand/SI206377-NST/2020,A.6
Thailand/SI205929-NT/2020,A.6
Thailand/SI205457-NST/2020,A.6
Thailand/SI204713-NT/2020,A.6
Thailand/SI204514-NT/2020,A.6
Thailand/SI203285-NT/2020,A.6
Thailand/SI202872-NT/2020,A.6
Thailand/SI202769-NT/2020,A.6
Thailand/SI202620-NT/2020,A.6
Thailand/SI200468-NT/2020,A.6
Thailand/Bangkok-0060/2020,A.6
Thailand/Bangkok-0063/2020,A.6
Thailand/Bangkok-0065/2020,A.6
Thailand/Bangkok-0079/2020,A.6
Thailand/Bangkok-0080/2020,A.6
Thailand/Bangkok-0083/2020,A.6
Thailand/Bangkok-0085/2020,A.6
Thailand/Bangkok-0089/2020,A.6
Thailand/Nonthaburi_193/2020,A.6
Thailand/Bangkok_237/2020,A.6
Thailand/Bangkok_238/2020,A.6
Thailand/Bangkok_1716/2020,A.6
Thailand/Bangkok-CONI-0018/2020,A.6
Thailand/Nakhonnayok_2829/2020,A.6
Thailand/Nonthaburi_3481/2020,A.6
Thailand/Nonthaburi_3480/2020,A.6
Thailand/Nonthaburi_3479/2020,A.6
Thailand/Bangkok_2974/2020,A.6
Thailand/Nonthaburi_3478/2020,A.6
Thailand/Bangkok_2295/2020,A.6
Thailand/Bangkok_2504/2020,A.6
Thailand/Bangkok_2489/2020,A.6
Thailand/Bangkok_2488/2020,A.6
Thailand/Nonthaburi_2472/2020,A.6
Thailand/Bangkok_2420/2020,A.6
Thailand/Bangkok-CONI-0105/2020,A.6
Thailand/Bangkok-CONI-0106/2020,A.6
Thailand/Bangkok-CONI-0108/2020,A.6
Thailand/Bangkok-CONI-0109/2020,A.6
Thailand/Bangkok-CONI-0111/2020,A.6
Thailand/Bangkok-CONI-0114/2020,A.6
Thailand/Bangkok-CONI-0130/2020,A.6
Thailand/Bangkok-CONI-0131/2020,A.6
Thailand/Bangkok-CONI-0132/2020,A.6
Thailand/Bangkok-CONI-0134/2020,A.6
Thailand/Bangkok-CONI-0135/2020,A.6
Thailand/Bangkok-CONI-0136/2020,A.6
Thailand/Bangkok-CONI-0137/2020,A.6
Thailand/Bangkok-CONI-0138/2020,A.6
Thailand/Bangkok-CONI-0139/2020,A.6
Thailand/Bangkok-CONI-0141/2020,A.6
Thailand/Bangkok-CONI-0142/2020,A.6
Thailand/Bangkok-CONI-0143/2020,A.6
Thailand/Bangkok-CONI-0144/2020,A.6
Thailand/Bangkok-CONI-0145/2020,A.6
Thailand/Bangkok-CONI-0146/2020,A.6
Thailand/Bangkok-CONI-0147/2020,A.6
Thailand/Bangkok-CONI-0148/2020,A.6
Thailand/Bangkok-CONI-0150/2020,A.6
Thailand/Bangkok-CONI-0152/2020,A.6
Thailand/Bangkok-CONI-0153/2020,A.6
Thailand/Bangkok-CONI-0154/2020,A.6
Thailand/Bangkok-CONI-0155/2020,A.6
Singapore/297/2020,A.6
