GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_423040,Thailand/Bangkok-0019/2020,Thailand,,2020-03-20,12.0,A.6,0
EPI_ISL_429170,Thailand/Bangkok-0034/2020,Thailand,,2020-03-17,12.0,A.6,1
EPI_ISL_429171,Thailand/Bangkok-0035/2020,Thailand,,2020-03-18,12.0,A.6,1
EPI_ISL_429173,Thailand/Bangkok-0037/2020,Thailand,,2020-03-21,12.0,A.6,0
EPI_ISL_429176,Thailand/Bangkok-0040/2020,Thailand,,2020-03-28,13.0,A.6,0
EPI_ISL_429177,Thailand/Bangkok-0041/2020,Thailand,,2020-03-28,13.0,A.6,0
EPI_ISL_429165,Thailand/Bangkok-0026/2020,Thailand,,2020-03-13,11.0,A.6,1
EPI_ISL_429164,Thailand/Bangkok-0025/2020,Thailand,,2020-03-13,11.0,A.6,0
EPI_ISL_429167,Thailand/Bangkok-0029/2020,Thailand,,2020-03-13,11.0,A.6,0
EPI_ISL_429166,Thailand/Bangkok-0028/2020,Thailand,,2020-03-13,11.0,A.6,0
EPI_ISL_430841,Thailand/NIH-2492/2020,Thailand,,2020-03-17,12.0,A.6,0
EPI_ISL_434699,Thailand/NIH-2296/2020,Thailand,,2020-03-13,11.0,A.6,0
EPI_ISL_434700,Thailand/NIH-2420/2020,Thailand,,2020-03-13,11.0,A.6,0
EPI_ISL_434701,Thailand/NIH-2472/2020,Thailand,,2020-03-14,11.0,A.6,0
EPI_ISL_434703,Thailand/NIH-2489/2020,Thailand,,2020-03-14,11.0,A.6,0
EPI_ISL_434704,Thailand/NIH-2492-2/2020,Thailand,,2020-03-17,12.0,A.6,0
EPI_ISL_434705,Thailand/NIH-2720/2020,Thailand,,2020-03-16,12.0,A.6,0
EPI_ISL_434706,Thailand/NIH-2721/2020,Thailand,,2020-03-16,12.0,A.6,0
EPI_ISL_434707,Thailand/NIH-2980/2020,Thailand,,2020-03-18,12.0,A.6,0
EPI_ISL_437602,Thailand/SI206917-NT/2020,Thailand,,2020-03-20,12.0,A.6,0
EPI_ISL_437603,Thailand/SI206587-NT/2020,Thailand,,2020-03-19,12.0,A.6,0
EPI_ISL_437604,Thailand/SI206377-NST/2020,Thailand,,2020-03-01,10.0,A.6,0
EPI_ISL_437605,Thailand/SI205929-NT/2020,Thailand,,2020-03-18,12.0,A.6,0
EPI_ISL_437607,Thailand/SI205457-NST/2020,Thailand,,2020-03-16,12.0,A.6,0
EPI_ISL_437608,Thailand/SI204713-NT/2020,Thailand,,2020-03-13,11.0,A.6,0
EPI_ISL_437609,Thailand/SI204514-NT/2020,Thailand,,2020-03-12,11.0,A.6,0
EPI_ISL_437612,Thailand/SI203285-NT/2020,Thailand,,2020-01-23,4.0,A.6,0
EPI_ISL_437613,Thailand/SI202872-NT/2020,Thailand,,2020-02-25,9.0,A.6,0
EPI_ISL_437614,Thailand/SI202769-NT/2020,Thailand,,2020-02-25,9.0,A.6,0
EPI_ISL_437615,Thailand/SI202620-NT/2020,Thailand,,2020-02-22,8.0,A.6,0
EPI_ISL_437620,Thailand/SI200468-NT/2020,Thailand,,2020-01-25,4.0,A.6,0
