taxon,lineage
Italy/TE5166/2020,B
Belgium/DA-030691/2020,B
Belgium/HP-0319108/2020,B
Belgium/KKN-0319184/2020,B
Belgium/OT-0319109/2020,B
Belgium/UM-0318103/2020,B
Belgium/VD-0318102/2020,B
Finland/FIN-114/2020,B
Spain_Madrid_LP10/12/2020,B
Spain/Madrid-LP32/2020,B
Guangzhou/GZMU0019/2020,B
Germany/BavPat1/2020,B
Beijing/DT-travelES01/2020,B
Sichuan/SC-PHCC1-022/2020,B
Beijing/DT-travelUSA04/2020,B
Beijing/DT-travelGR01/2020,B
Germany/BavPat2-ChVir984-ChVir1017/2020,B
Beijing/DT-travelMX01/2020,B
Germany/BavPat3-ChVir1020/2020,B
Germany/BavPat1-ChVir929/2020,B
Guangzhou/GZMU0037/2020,B
Shanghai/SH0025/2020,B
Shanghai/SH0014/2020,B
Shanghai/SH0086/2020,B
USA/MN47-MDH47/2020,B
USA/MN34-MDH34/2020,B
Germany/BavPat4-ChVir1019/2020,B
Germany/BavPat7-ChVir1289/2020,B
Germany/BavPat10-ChVir1482/2020,B
Germany/BavPat14-ChVir1483/2020,B
Germany/BavPat8-ChVir1356/2020,B
Beijing/DT-travelUSA03/2020,B
England/NORT-283FF7/2020,B
Australia/VIC373/2020,B
Scotland/EDB039/2020,B
Guangzhou/GZMU0020/2020,B
Austria/Graz-MUG7/2020,B
Wales/PHWC-2EE8A/2020,B
Australia/SAP142/2020,B
Wales/PHWC-31103/2020,B
Australia/NT42/2020,B
USA/WY-WYPHL-00021/2020,B
Australia/NT14/2020,B.2.1
England/NOTT-10E47E/2020,B.2.1
England/NOTT-10E450/2020,B.2.1
England/20129044506/2020,B.2.1
England/20129044404/2020,B.2.1
England/NOTT-10E748/2020,B.2.1
Australia/VIC186/2020,B.2.1
England/201360210/2020,B.2.1
England/20132106104/2020,B.2.1
England/20134009504/2020,B.2.1
England/20118070604/2020,B.2.1
England/LOND-D4FF9/2020,B.2.1
England/20109056906/2020,B.2.1
Australia/QLDID929/2020,B.2.1
Australia/VIC187/2020,B.2.1
England/20118151404/2020,B.2.1
USA/MN-MDH-321/2020,B.2.1
Wales/PHWC-29DBF/2020,B.2.1
Netherlands_NA/21/2020,B.2.1
England/SHEF-C0224/2020,B.2.1
Australia/NSW58/2020,B.2.1
Taiwan/TSGH-10/2020,B.2.1
USA/MN-MDH-320/2020,B.2.1
England/20132082504/2020,B.2.1
Portugal/IGC00009/2020,B.2.1
England/CAMB-74614/2020,B.2.1
Scotland/EDB1096/2020,B.2.1
England/CAMB-73A0A/2020,B.2.1
England/20119047904/2020,B.2.1
England/NOTT-10E098/2020,B.2.1
Ireland/22901/2020,B.2.1
Wales/PHWC-2516C/2020,B.2.1
England/CAMB-75FDC/2020,B.2.1
Portugal/PT0520/2020,B.2.1
Portugal/PT0516/2020,B.2.1
England/09c/2020,B.2.1
England/20134020104/2020,B.2.1
England/20134021104/2020,B.2.1
England/20122119302/2020,B.2.1
USA/MN-MDH-297/2020,B.2.1
England/20139059504/2020,B.2.1
Portugal/PT0498/2020,B.2.1
England/NOTT-10EB2E/2020,B.2.1
England/201161300/2020,B.2.1
Zhejiang/OS5/2020,B.2.1
England/CAMB-76D3B/2020,B.2.1
England/20129033804/2020,B.2.1
England/NOTT-10E678/2020,B.2.1
