GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
,Northern_Ireland/NIRE-FB25D/2020,UK,,2020-03-24,13.0,B.10,0
,Northern_Ireland/NIRE-FADF3/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FAE2D/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FB16F/2020,UK,,2020-03-24,13.0,B.10,0
,Northern_Ireland/NIRE-FAE96/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FB651/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FB17E/2020,UK,,2020-03-25,13.0,B.10,0
,Northern_Ireland/NIRE-FAFB1/2020,UK,,2020-03-24,13.0,B.10,0
,Northern_Ireland/NIRE-FADA8/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FB6BB/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FB23F/2020,UK,,2020-03-24,13.0,B.10,0
,England/LIVE-9BFC1/2020,UK,,2020-03-25,13.0,B.10,0
,Northern_Ireland/NIRE-1023AA/2020,UK,,2020-03-21,12.0,B.10,0
,Northern_Ireland/NIRE-101F6B/2020,UK,,2020-03-23,13.0,B.10,0
,Northern_Ireland/NIRE-101FE3/2020,UK,,2020-03-23,13.0,B.10,0
,Northern_Ireland/NIRE-10210A/2020,UK,,2020-03-20,12.0,B.10,0
,Northern_Ireland/NIRE-1020B2/2020,UK,,2020-03-21,12.0,B.10,0
,Northern_Ireland/NIRE-101F89/2020,UK,,2020-03-23,13.0,B.10,0
,Northern_Ireland/NIRE-1020A3/2020,UK,,2020-03-22,13.0,B.10,0
,Northern_Ireland/NIRE-101FD4/2020,UK,,2020-03-23,13.0,B.10,0
,Northern_Ireland/NIRE-102076/2020,UK,,2020-03-21,12.0,B.10,0
,Northern_Ireland/NIRE-10237D/2020,UK,,2020-03-21,12.0,B.10,0
,Northern_Ireland/NIRE-102191/2020,UK,,2020-03-14,11.0,B.10,0
,Northern_Ireland/NIRE-102128/2020,UK,,2020-03-21,12.0,B.10,0
,Northern_Ireland/NIRE-10238C/2020,UK,,2020-03-22,13.0,B.10,0
,Northern_Ireland/NIRE-10203A/2020,UK,,2020-03-22,13.0,B.10,0
,England/SHEF-D01F7/2020,UK,,2020-04-10,15.0,B.10,0
,Scotland/CVR339/2020,UK,,2020-03-20,12.0,B.10,0
,Scotland/CVR828/2020,UK,,2020-03-27,13.0,B.10,0
,England/BRIS-1248D0/2020,UK,,2020-03-25,13.0,B.10,0
,England/LIVE-9BAA2/2020,UK,,2020-04-22,17.0,B.10,0
,England/SHEF-C324F/2020,UK,,2020-03-26,13.0,B.10,0
,England/SHEF-CE2CC/2020,UK,,2020-03-22,13.0,B.10,0
,Northern_Ireland/NIRE-FA93B/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FA9D1/2020,UK,,2020-03-27,13.0,B.10,0
,Northern_Ireland/NIRE-FAA0B/2020,UK,,2020-04-06,15.0,B.10,0
,Northern_Ireland/NIRE-FA83E/2020,UK,,2020-03-30,14.0,B.10,0
,Northern_Ireland/NIRE-FA616/2020,UK,,2020-03-31,14.0,B.10,0
,Northern_Ireland/NIRE-FA995/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FAC8D/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FAC6F/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FA91D/2020,UK,,2020-03-26,13.0,B.10,0
,Scotland/CVR705/2020,UK,,2020-03-26,13.0,B.10,0
,Northern_Ireland/NIRE-FB3D2/2020,UK,,2020-03-20,12.0,B.10,0
,Northern_Ireland/NIRE-FB4FD/2020,UK,,2020-03-17,12.0,B.10,0
,Northern_Ireland/NIRE-FB396/2020,UK,,2020-03-19,12.0,B.10,0
,Northern_Ireland/NIRE-FB3E1/2020,UK,,2020-03-20,12.0,B.10,0
,Northern_Ireland/NIRE-FB466/2020,UK,,2020-03-17,12.0,B.10,1
,Northern_Ireland/NIRE-FB4A2/2020,UK,,2020-03-18,12.0,B.10,0
,Northern_Ireland/NIRE-FB41B/2020,UK,,2020-03-16,12.0,B.10,0
,Northern_Ireland/NIRE-FB4C0/2020,UK,,2020-03-17,12.0,B.10,0
,Northern_Ireland/NIRE-FB3F0/2020,UK,,2020-03-16,12.0,B.10,0
,Northern_Ireland/NIRE-FB457/2020,UK,,2020-03-16,12.0,B.10,0
,Northern_Ireland/NIRE-FB4EE/2020,UK,,2020-03-16,12.0,B.10,0
,Northern_Ireland/NIRE-FB439/2020,UK,,2020-03-17,12.0,B.10,1
,England/NOTT-10EC67/2020,UK,,2020-03-27,13.0,B.10,0
,Scotland/CVR1366/2020,UK,,2020-04-01,14.0,B.10,0
,England/20129176204/2020,UK,,2020-03-20,12.0,B.10,0
,England/20129032104/2020,UK,,2020-03-20,12.0,B.10,0
,England/SHEF-C1812/2020,UK,,2020-04-02,14.0,B.10,0
,England/CAMB-71F85/2020,UK,,2020-03-28,13.0,B.10,0
,England/NOTT-10E71B/2020,UK,,2020-03-24,13.0,B.10,1
,England/BRIS-121A64/2020,UK,,2020-03-13,11.0,B.10,0
,Scotland/CVR120/2020,UK,,2020-03-14,11.0,B.10,0
,Scotland/CVR268/2020,UK,,2020-03-19,12.0,B.10,0
,Scotland/EDB185/2020,UK,,2020-03-25,13.0,B.10,0
