taxon,lineage
SouthAfrica/Tygerberg_20/2020,B.1.8.1
SouthAfrica/Tygerberg_18/2020,B.1.8.1
SouthAfrica/Tygerberg_21/2020,B.1.8.1
SouthAfrica/Tygerberg_07/2020,B.1.8.1
SouthAfrica/Tygerberg_12/2020,B.1.8.1
SouthAfrica/Tygerberg_10/2020,B.1.8.1
SouthAfrica/Tygerberg_16/2020,B.1.8.1
SouthAfrica/Tygerberg_08/2020,B.1.8.1
SouthAfrica/Tygerberg_15/2020,B.1.8.1
SouthAfrica/Tygerberg_26/2020,B.1.8.1
SouthAfrica/Tygerberg_22/2020,B.1.8.1
SouthAfrica/Tygerberg_17/2020,B.1.8.1
SouthAfrica/Tygerberg_27/2020,B.1.8.1
SouthAfrica/Tygerberg_19/2020,B.1.8.1
