GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_417018,Belgium/ULG-6670/2020,Belgium,,2020-03-14,11.0,B.1.p9,1
EPI_ISL_424656,Belgium/ULG-10054/2020,Belgium,,2020-04-05,15.0,B.1.p9,0
EPI_ISL_424645,Belgium/ULG-10085/2020,Belgium,,2020-04-04,14.0,B.1.p9,1
EPI_ISL_428346,Turkey/GLAB-CoV012/2020,Turkey,,2020-04-17,16.0,B.1.p9,1
EPI_ISL_418639,Belgium/ULG-8617/2020,Belgium,,2020-03-19,12.0,B.1.p9,0
EPI_ISL_418623,Belgium/ULG-6732/2020,Belgium,,2020-03-14,11.0,B.1.p9,0
EPI_ISL_418650,Belgium/ULG-9620/2020,Belgium,,2020-03-22,13.0,B.1.p9,0
EPI_ISL_418654,Belgium/ULG-9694/2020,Belgium,,2020-03-22,13.0,B.1.p9,0
EPI_ISL_418660,Belgium/ULG-9732/2020,Belgium,,2020-03-22,13.0,B.1.p9,0
EPI_ISL_421200,Belgium/ULG-10026/2020,Belgium,,2020-03-31,14.0,B.1.p9,0
EPI_ISL_427354,Belgium/ULG-10103/2020,Belgium,,2020-04-06,15.0,B.1.p9,0
EPI_ISL_427357,Belgium/ULG-10106/2020,Belgium,,2020-04-07,15.0,B.1.p9,0
EPI_ISL_427365,Belgium/ULG-10117/2020,Belgium,,2020-04-07,15.0,B.1.p9,0
EPI_ISL_427343,Belgium/ULG-10035/2020,Belgium,,2020-03-31,14.0,B.1.p9,0
EPI_ISL_427348,Belgium/ULG-10097/2020,Belgium,,2020-04-06,15.0,B.1.p9,0
EPI_ISL_427349,Belgium/ULG-10098/2020,Belgium,,2020-04-06,15.0,B.1.p9,0
EPI_ISL_427391,Turkey/GLAB-CoV008/2020,Turkey,,2020-04-13,16.0,B.1.p9,0
EPI_ISL_427372,Belgium/ULG-10126/2020,Belgium,,2020-04-07,15.0,B.1.p9,0
EPI_ISL_427375,Belgium/ULG-10130/2020,Belgium,,2020-04-07,15.0,B.1.p9,0
EPI_ISL_427378,Belgium/ULG-10133/2020,Belgium,,2020-04-07,15.0,B.1.p9,0
EPI_ISL_417944,DRC/81/2020,DRC,,2020-03-18,12.0,B.1.p9,0
EPI_ISL_421190,Belgium/ULG-10012/2020,Belgium,,2020-03-31,14.0,B.1.p9,0
EPI_ISL_421188,Belgium/ULG-10009/2020,Belgium,,2020-03-30,14.0,B.1.p9,0
EPI_ISL_421189,Belgium/ULG-10011/2020,Belgium,,2020-03-30,14.0,B.1.p9,0
EPI_ISL_421183,Belgium/ULG-10003/2020,Belgium,,2020-03-30,14.0,B.1.p9,0
EPI_ISL_422600,Netherlands/NA_291/2020,Netherlands,,2020-04-01,14.0,B.1.p9,0
EPI_ISL_422585,Netherlands/NA_274/2020,Netherlands,,2020-03-30,14.0,B.1.p9,0
EPI_ISL_422747,Netherlands/NA_212/2020,Netherlands,,2020-03-24,13.0,B.1.p9,0
EPI_ISL_422769,Netherlands/NA_235/2020,Netherlands,,2020-03-27,13.0,B.1.p9,0
EPI_ISL_422778,Netherlands/NA_244/2020,Netherlands,,2020-03-29,14.0,B.1.p9,0
EPI_ISL_428719,Turkey/HSGM-7718/2020,Turkey,,2020-03-21,12.0,B.1.p9,0
EPI_ISL_428916,Russia/Chechenya-83803/2020,Russia,,2020-03-26,13.0,B.1.p9,0
EPI_ISL_426285,Latvia/05/2020,Latvia,,2020-03-30,14.0,B.1.p9,0
EPI_ISL_437304,Turkey/HSGM-674/2020,Turkey,,2020-03-26,13.0,B.1.p9,0
EPI_ISL_437328,Turkey/HSGM-7668/2020,Turkey,Saudia_Arabia,2020-03-19,12.0,B.1.p9,0
EPI_ISL_437340,DRC/2563/2020,DRC,,2020-04-15,16.0,B.1.p9,0
EPI_ISL_437343,DRC/2670/2020,DRC,,2020-04-15,16.0,B.1.p9,0
EPI_ISL_437468,Saudi_Arabia/KAUST-Makkah20/2020,Saudi_Arabia,,2020-03-22,13.0,B.1.p9,0
,England/CAMB-763DF/2020,UK,,2020-03-30,14.0,B.1.p9,0
