PANGO	REPO	MILESTONE	ISSUE	LABELS	STATE	REASON	UNALIASED
A.2.5.1	cov-lineages/pango-designation	25	33	designated	CLOSED	COMPLETED	A.2.5.1
A.2.5.3	cov-lineages/pango-designation	89	168	designated	CLOSED	COMPLETED	A.2.5.3
A.27	cov-lineages/pango-designation	6	11	designated	CLOSED	COMPLETED	A.27
A.28	cov-lineages/pango-designation	10	12	designated	CLOSED	COMPLETED	A.28
A.29	cov-lineages/pango-designation	48	78	designated	CLOSED	COMPLETED	A.29
A.30	cov-lineages/pango-designation	69	138	designated	CLOSED	COMPLETED	A.30
C.1	cov-lineages/pango-designation	1	2	proposed, designated	CLOSED	COMPLETED	B.1.1.1.1
C.1.2	cov-lineages/pango-designation	71	139	designated	CLOSED	COMPLETED	B.1.1.1.1.2
C.2.1	cov-lineages/pango-designation	18	32	designated	CLOSED	COMPLETED	B.1.1.1.2.1
C.36.3	cov-lineages/pango-designation	50	80	designated	CLOSED	COMPLETED	B.1.1.1.36.3
C.37	cov-lineages/pango-designation	34	52	designated	CLOSED	COMPLETED	B.1.1.1.37
C.37.1	cov-lineages/pango-designation	82	158	designated	CLOSED	COMPLETED	B.1.1.1.37.1
C.38	cov-lineages/pango-designation	78	150	designated	CLOSED	COMPLETED	B.1.1.1.38
C.39	cov-lineages/pango-designation	100	178	designated	CLOSED	COMPLETED	B.1.1.1.39
C.40	cov-lineages/pango-designation	113	203	designated	CLOSED	COMPLETED	B.1.1.1.40
P.1	cov-lineages/pango-designation	47	77	designated	CLOSED	COMPLETED	B.1.1.28.1
P.1.1	cov-lineages/pango-designation	21	28	designated	CLOSED	COMPLETED	B.1.1.28.1.1
P.1.10	cov-lineages/pango-designation	96	179	designated	CLOSED	COMPLETED	B.1.1.28.1.10
P.1.11	cov-lineages/pango-designation	99	164	designated	CLOSED	COMPLETED	B.1.1.28.1.11
P.1.12	cov-lineages/pango-designation	121	212	designated	CLOSED	COMPLETED	B.1.1.28.1.12
P.1.12.1	cov-lineages/pango-designation	210	282	designated	CLOSED	COMPLETED	B.1.1.28.1.12.1
P.1.13	cov-lineages/pango-designation	131	231	designated	CLOSED	COMPLETED	B.1.1.28.1.13
P.1.14	cov-lineages/pango-designation	131	231	designated	CLOSED	COMPLETED	B.1.1.28.1.14
P.1.15	cov-lineages/pango-designation	131	231	designated	CLOSED	COMPLETED	B.1.1.28.1.15
P.1.16	cov-lineages/pango-designation	131	231	designated	CLOSED	COMPLETED	B.1.1.28.1.16
P.1.17	cov-lineages/pango-designation	131	231	designated	CLOSED	COMPLETED	B.1.1.28.1.17
P.1.17.1	cov-lineages/pango-designation	131	231	designated	CLOSED	COMPLETED	B.1.1.28.1.17.1
P.1.2	cov-lineages/pango-designation	37	56	designated	CLOSED	COMPLETED	B.1.1.28.1.2
P.1.3	cov-lineages/pango-designation	72	141	designated	CLOSED	COMPLETED	B.1.1.28.1.3
P.1.4	cov-lineages/pango-designation	72	141	designated	CLOSED	COMPLETED	B.1.1.28.1.4
P.1.5	cov-lineages/pango-designation	72	141	designated	CLOSED	COMPLETED	B.1.1.28.1.5
P.1.6	cov-lineages/pango-designation	72	141	designated	CLOSED	COMPLETED	B.1.1.28.1.6
P.1.7	cov-lineages/pango-designation	72	141	designated	CLOSED	COMPLETED	B.1.1.28.1.7
P.1.7.1	cov-lineages/pango-designation	196	326	designated	CLOSED	COMPLETED	B.1.1.28.1.7.1
P.1.8	cov-lineages/pango-designation	99	164	designated	CLOSED	COMPLETED	B.1.1.28.1.8
P.1.9	cov-lineages/pango-designation	95	174	designated	CLOSED	COMPLETED	B.1.1.28.1.9
P.3	cov-lineages/pango-designation	14	27	proposed, designated	CLOSED	COMPLETED	B.1.1.28.3
P.4	cov-lineages/pango-designation	49	68	designated	CLOSED	COMPLETED	B.1.1.28.4
P.5	cov-lineages/pango-designation	56	86	designated	CLOSED	COMPLETED	B.1.1.28.5
P.6	cov-lineages/pango-designation	75	148	designated	CLOSED	COMPLETED	B.1.1.28.6
P.7	cov-lineages/pango-designation	84	29	designated	CLOSED	COMPLETED	B.1.1.28.7
B.1.1.29	cov-lineages/pango-designation	29	50		CLOSED	COMPLETED	B.1.1.29
B.1.1.316	cov-lineages/pango-designation	5	14		CLOSED	COMPLETED	B.1.1.316
R.1	cov-lineages/pango-designation	7	17	proposed, designated	CLOSED	COMPLETED	B.1.1.316.1
R.2	cov-lineages/pango-designation	8	18	proposed, designated	CLOSED	COMPLETED	B.1.1.316.2
B.1.1.317	cov-lineages/pango-designation	85	53	not accepted	CLOSED	COMPLETED	B.1.1.317
B.1.1.318	cov-lineages/pango-designation	9	15		CLOSED	COMPLETED	B.1.1.318
AZ.1	cov-lineages/pango-designation	90	171	designated	CLOSED	COMPLETED	B.1.1.318.1
AZ.2	cov-lineages/pango-designation	90	171	designated	CLOSED	COMPLETED	B.1.1.318.2
AZ.2.1	cov-lineages/pango-designation	90	171	designated	CLOSED	COMPLETED	B.1.1.318.2.1
AZ.3	cov-lineages/pango-designation	90	171	designated	CLOSED	COMPLETED	B.1.1.318.3
AZ.4	cov-lineages/pango-designation	90	171	designated	CLOSED	COMPLETED	B.1.1.318.4
AZ.5	cov-lineages/pango-designation	90	171	designated	CLOSED	COMPLETED	B.1.1.318.5
AZ.6	cov-lineages/pango-designation	90	171	designated	CLOSED	COMPLETED	B.1.1.318.6
N.10	cov-lineages/pango-designation	26	40	designated	CLOSED	COMPLETED	B.1.1.33.10
N.9	cov-lineages/pango-designation	16	26	designated	CLOSED	COMPLETED	B.1.1.33.9
AT.1	cov-lineages/pango-designation	30	47	designated	CLOSED	COMPLETED	B.1.1.370.1
AT.1	cov-lineages/pango-designation	30	152	correction	CLOSED	COMPLETED	B.1.1.370.1
AW.1	cov-lineages/pango-designation	51	103		CLOSED	COMPLETED	B.1.1.464.1
AV.1	cov-lineages/pango-designation	42	73	designated	CLOSED	COMPLETED	B.1.1.482.1
B.1.1.519	cov-lineages/pango-designation	67	111	correction	CLOSED	COMPLETED	B.1.1.519
B.1.1.523	cov-lineages/pango-designation	46	69	designated	CLOSED	COMPLETED	B.1.1.523
B.1.1.524	cov-lineages/pango-designation	55	85	designated	CLOSED	COMPLETED	B.1.1.524
B.1.1.525	cov-lineages/pango-designation	55	85	designated	CLOSED	COMPLETED	B.1.1.525
B.1.1.528	cov-lineages/pango-designation	104	177	designated	CLOSED	COMPLETED	B.1.1.528
B.1.1.529	cov-lineages/pango-designation	161	343	designated	CLOSED	COMPLETED	B.1.1.529
BA.1	cov-lineages/pango-designation	178	361	designated	CLOSED	COMPLETED	B.1.1.529.1
BA.1.1	cov-lineages/pango-designation	216	360	designated	CLOSED	COMPLETED	B.1.1.529.1.1
BC.2	cov-lineages/pango-designation	335	570	designated	CLOSED	COMPLETED	B.1.1.529.1.1.1.2
BA.1.1.17	cov-lineages/pango-designation	259	452	designated	CLOSED	COMPLETED	B.1.1.529.1.1.17
BA.1.14.1	cov-lineages/pango-designation	255	506	designated	CLOSED	COMPLETED	B.1.1.529.1.14.1
BA.1.15.2	cov-lineages/pango-designation	256	508	designated	CLOSED	COMPLETED	B.1.1.529.1.15.2
BA.1.15.3	cov-lineages/pango-designation	336	573	designated	CLOSED	COMPLETED	B.1.1.529.1.15.3
BA.1.17.2	cov-lineages/pango-designation	235	462	designated	CLOSED	COMPLETED	B.1.1.529.1.17.2
BD.1	cov-lineages/pango-designation	333	461	designated	CLOSED	COMPLETED	B.1.1.529.1.17.2.1
BA.1.18	cov-lineages/pango-designation	229	474	designated	CLOSED	COMPLETED	B.1.1.529.1.18
BA.1.19	cov-lineages/pango-designation	230	475	designated	CLOSED	COMPLETED	B.1.1.529.1.19
BA.1.20	cov-lineages/pango-designation	252	375	designated	CLOSED	COMPLETED	B.1.1.529.1.20
BA.1.21	cov-lineages/pango-designation	253	505	designated	CLOSED	COMPLETED	B.1.1.529.1.21
BA.1.21.1	cov-lineages/pango-designation	254	409	designated	CLOSED	COMPLETED	B.1.1.529.1.21.1
BA.1.22	cov-lineages/pango-designation	269	529	designated	CLOSED	COMPLETED	B.1.1.529.1.22
