GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
,England/SHEF-CBB2E/2020,UK,,2020-03-26,13.0,B.1.34,0
,England/NOTT-1105D0/2020,UK,,2020-04-26,18.0,B.1.34,0
,England/NORW-E994E/2020,UK,,2020-04-23,17.0,B.1.34,0
,England/NOTT-110109/2020,UK,,2020-04-10,15.0,B.1.34,0
,England/NOTT-1100C0/2020,UK,,2020-04-10,15.0,B.1.34,0
,England/NOTT-110048/2020,UK,,2020-04-14,16.0,B.1.34,0
,England/NOTT-10FFE5/2020,UK,,2020-04-14,16.0,B.1.34,0
,England/NOTT-10F932/2020,UK,,2020-04-05,15.0,B.1.34,0
,England/NOTT-10F923/2020,UK,,2020-04-05,15.0,B.1.34,0
,England/NOTT-10F738/2020,UK,,2020-04-03,14.0,B.1.34,0
,England/NOTT-10F4F5/2020,UK,,2020-04-02,14.0,B.1.34,1
,England/NOTT-10F2BF/2020,UK,,2020-04-01,14.0,B.1.34,0
,England/NOTT-10EB6A/2020,UK,,2020-03-17,12.0,B.1.34,1
,England/NOTT-10EB79/2020,UK,,2020-03-18,12.0,B.1.34,0
,England/NOTT-10E960/2020,UK,,2020-03-29,14.0,B.1.34,0
,England/NOTT-10EA30/2020,UK,,2020-03-30,14.0,B.1.34,1
,England/NOTT-10E64B/2020,UK,,2020-03-23,13.0,B.1.34,0
,England/NOTT-10E65A/2020,UK,,2020-03-23,13.0,B.1.34,0
,England/NOTT-10E696/2020,UK,,2020-03-24,13.0,B.1.34,0
,England/NOTT-10E2FC/2020,UK,,2020-03-21,12.0,B.1.34,0
,England/NOTT-10E07A/2020,UK,,2020-03-18,12.0,B.1.34,0
,England/NOTT-10E04D/2020,UK,,2020-03-17,12.0,B.1.34,0
