taxon,lineage
Korea/KCDC2015/2020,B.2.10
Korea_BA-ACH/2718/2020,B.2.10
Korea_BA-ACH/2719/2020,B.2.10
Korea_BA-ACH/2604/2020,B.2.10
Korea/KCDC2016/2020,B.2.10
Korea/KCDC2017/2020,B.2.10
Korea/KCDC2019/2020,B.2.10
Korea/KCDC2041/2020,B.2.10
Korea/KCDC2026/2020,B.2.10
Korea/KCDC2022/2020,B.2.10
Korea/KCDC2028/2020,B.2.10
Korea/KCDC2043/2020,B.2.10
Korea/KCDC2027/2020,B.2.10
USA/WA3-UW1/2020,B.2.10
USA_WA/5030/2020,B.2.10
Korea/KCDC2021/2020,B.2.10
Korea/KCDC2020/2020,B.2.10
Korea/KCDC2023/2020,B.2.10
Korea/KCDC2024/2020,B.2.10
Korea/KCDC2025/2020,B.2.10
Korea/KCDC2040/2020,B.2.10
Korea/KCDC2045/2020,B.2.10
Korea/KCDC2048/2020,B.2.10
Korea/KCDC2049/2020,B.2.10
