GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_417142,USA/WA-S89/2020,USA,,2020-02-29,9.0,A.1,1
EPI_ISL_417140,USA/WA-S87/2020,USA,,2020-03-01,10.0,A.1,1
EPI_ISL_417143,USA/WA-S90/2020,USA,,2020-02-29,9.0,A.1,1
EPI_ISL_417149,USA/WA-S96/2020,USA,,2020-02-28,9.0,A.1,0
EPI_ISL_417147,USA/WA-S94/2020,USA,,2020-02-28,9.0,A.1,0
EPI_ISL_417148,USA/WA-S95/2020,USA,,2020-02-28,9.0,A.1,0
EPI_ISL_417130,USA/WA-S77/2020,USA,,2020-03-05,10.0,A.1,0
EPI_ISL_417131,USA/WA-S78/2020,USA,,2020-03-05,10.0,A.1,0
EPI_ISL_417134,USA/WA-S81/2020,USA,,2020-02-26,9.0,A.1,0
EPI_ISL_417133,USA/WA-S80/2020,USA,,2020-03-05,10.0,A.1,0
EPI_ISL_417139,USA/WA-S86/2020,USA,,2020-03-01,10.0,A.1,0
EPI_ISL_417136,USA/WA-S83/2020,USA,,2020-03-05,10.0,A.1,0
EPI_ISL_417163,USA/WA-S110/2020,USA,,2020-03-05,10.0,A.1,0
EPI_ISL_417167,USA/WA-S114/2020,USA,,2020-03-05,10.0,A.1,0
EPI_ISL_417168,USA/WA-S115/2020,USA,,2020-02-29,9.0,A.1,0
EPI_ISL_417165,USA/WA-S112/2020,USA,,2020-03-08,11.0,A.1,0
EPI_ISL_417166,USA/WA-S113/2020,USA,,2020-02-29,9.0,A.1,0
EPI_ISL_417160,USA/WA-S107/2020,USA,,2020-02-29,9.0,A.1,0
EPI_ISL_417150,USA/WA-S97/2020,USA,,2020-02-28,9.0,A.1,0
EPI_ISL_417157,USA/WA-S104/2020,USA,,2020-03-05,10.0,A.1,0
EPI_ISL_417159,USA/WA-S106/2020,USA,,2020-02-29,9.0,A.1,0
EPI_ISL_417174,USA/WA-S121/2020,USA,,2020-03-01,10.0,A.1,0
EPI_ISL_417172,USA/WA-S119/2020,USA,,2020-02-29,9.0,A.1,0
EPI_ISL_413601,USA/WA13-UW9/2020,USA,,2020-03-02,10.0,A.1,0
EPI_ISL_417194,USA/MN26-MDH26/2020,USA,,2020-03-12,11.0,A.1,0
EPI_ISL_419719,Australia/VIC118/2020,Australia,,2020-03-20,12.0,A.1,0
EPI_ISL_419717,Australia/VIC115/2020,Australia,,2020-03-19,12.0,A.1,0
EPI_ISL_419716,Australia/VIC110/2020,Australia,,2020-03-18,12.0,A.1,0
EPI_ISL_419715,Australia/VIC111/2020,Australia,,2020-03-18,12.0,A.1,0
EPI_ISL_419741,Australia/VIC20/2020,Australia,,2020-03-08,11.0,A.1,0
EPI_ISL_419739,Australia/VIC24/2020,Australia,,2020-03-09,11.0,A.1,0
