GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_424238,USA/WA-UW-1741/2020,USA,,2020-03-21,12.0,B.1.p21,0
EPI_ISL_424235,USA/WA-UW-1733/2020,USA,,2020-03-21,12.0,B.1.p21,1
EPI_ISL_424229,USA/WA-UW-1724/2020,USA,,2020-03-21,12.0,B.1.p21,1
EPI_ISL_424227,USA/WA-UW-1706/2020,USA,,2020-03-21,12.0,B.1.p21,1
EPI_ISL_424221,USA/WA-UW-1748/2020,USA,,2020-03-21,12.0,B.1.p21,0
EPI_ISL_424259,USA/WA-UW-1797/2020,USA,,2020-03-22,13.0,B.1.p21,0
EPI_ISL_424256,USA/WA-UW-1774/2020,USA,,2020-03-22,13.0,B.1.p21,0
EPI_ISL_424251,USA/WA-UW-1801/2020,USA,,2020-03-23,13.0,B.1.p21,0
EPI_ISL_424246,USA/WA-UW-1758/2020,USA,,2020-03-21,12.0,B.1.p21,0
EPI_ISL_424245,USA/WA-UW-1762/2020,USA,,2020-03-21,12.0,B.1.p21,0
EPI_ISL_424242,USA/WA-UW-1753/2020,USA,,2020-03-21,12.0,B.1.p21,0
EPI_ISL_424274,USA/WA-UW-1824/2020,USA,,2020-03-22,13.0,B.1.p21,0
EPI_ISL_424270,USA/WA-UW-1831/2020,USA,,2020-03-22,13.0,B.1.p21,0
EPI_ISL_424214,USA/WA-UW-1677/2020,USA,,2020-03-20,12.0,B.1.p21,0
EPI_ISL_424211,USA/WA-UW-1689/2020,USA,,2020-03-19,12.0,B.1.p21,0
EPI_ISL_424208,USA/WA-UW-1712/2020,USA,,2020-03-20,12.0,B.1.p21,0
EPI_ISL_424205,USA/WA-UW-1697/2020,USA,,2020-03-20,12.0,B.1.p21,0
EPI_ISL_424203,USA/WA-UW-1652/2020,USA,,2020-03-20,12.0,B.1.p21,0
EPI_ISL_424202,USA/WA-UW-1651/2020,USA,,2020-03-20,12.0,B.1.p21,0
EPI_ISL_424200,USA/WA-UW-1723/2020,USA,,2020-03-20,12.0,B.1.p21,0
EPI_ISL_423024,USA/WA-UW-1435/2020,USA,,2020-03-17,12.0,B.1.p21,0
EPI_ISL_423018,USA/WA-UW-1576/2020,USA,,2020-03-19,12.0,B.1.p21,0
EPI_ISL_423010,USA/WA-UW-1446/2020,USA,,2020-03-18,12.0,B.1.p21,0
EPI_ISL_424340,USA/WA-UW-2009/2020,USA,,2020-03-24,13.0,B.1.p21,0
EPI_ISL_423032,USA/WA-UW-1608/2020,USA,,2020-03-18,12.0,B.1.p21,0
EPI_ISL_423031,USA/WA-UW-1425/2020,USA,,2020-03-18,12.0,B.1.p21,0
EPI_ISL_424314,USA/WA-UW-1921/2020,USA,,2020-03-24,13.0,B.1.p21,0
EPI_ISL_424313,USA/WA-UW-1956/2020,USA,,2020-03-24,13.0,B.1.p21,0
EPI_ISL_424312,USA/WA-UW-1955/2020,USA,,2020-03-24,13.0,B.1.p21,0
