GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_421465,Portugal/PT0062/2020,Portugal,,2020-03-19,12.0,B.1.1.p11,1
EPI_ISL_421484,Portugal/PT0081/2020,Portugal,,2020-03-19,12.0,B.1.1.p11,0
EPI_ISL_421482,Portugal/PT0079/2020,Portugal,,2020-03-18,12.0,B.1.1.p11,0
,Wales/PHWC-32FBD/2020,UK,,2020-04-14,16.0,B.1.1.p11,0
,Wales/PHWC-33F8F/2020,UK,,2020-04-16,16.0,B.1.1.p11,0
,Wales/PHWC-2E01B/2020,UK,,2020-04-10,15.0,B.1.1.p11,0
,Wales/PHWC-31F81/2020,UK,,2020-04-14,16.0,B.1.1.p11,1
,Wales/PHWC-32357/2020,UK,,2020-04-08,15.0,B.1.1.p11,0
,Wales/PHWC-2DF6A/2020,UK,,2020-04-10,15.0,B.1.1.p11,0
,Wales/PHWC-31EDF/2020,UK,,2020-04-06,15.0,B.1.1.p11,0
,Wales/PHWC-311C7/2020,UK,,2020-04-11,15.0,B.1.1.p11,0
,Wales/PHWC-28D83/2020,UK,,2020-04-03,14.0,B.1.1.p11,0
,Wales/PHWC-28C86/2020,UK,,2020-04-02,14.0,B.1.1.p11,0
,Wales/PHWC-30F0A/2020,UK,,2020-04-09,15.0,B.1.1.p11,0
,Wales/PHWC-2ED32/2020,UK,,2020-04-07,15.0,B.1.1.p11,0
,Wales/PHWC-2C97C/2020,UK,,2020-03-31,14.0,B.1.1.p11,0
,England/BRIS-1251C5/2020,UK,,2020-03-26,13.0,B.1.1.p11,0
,England/BRIS-125F34/2020,UK,,2020-03-30,14.0,B.1.1.p11,0
,England/BRIS-125787/2020,UK,,2020-03-29,14.0,B.1.1.p11,0
,England/BRIS-125F43/2020,UK,,2020-03-30,14.0,B.1.1.p11,1
,Wales/PHWC-2F038/2020,UK,,2020-04-04,14.0,B.1.1.p11,0
,Wales/PHWC-2AA4E/2020,UK,,2020-04-07,15.0,B.1.1.p11,0
,England/BRIS-1236D7/2020,UK,,2020-04-06,15.0,B.1.1.p11,0
,England/BRIS-122D88/2020,UK,,2020-04-02,14.0,B.1.1.p11,0
,England/BRIS-1228E1/2020,UK,,2020-04-03,14.0,B.1.1.p11,0
,Wales/PHWC-27470/2020,UK,,2020-03-31,14.0,B.1.1.p11,1
,Wales/PHWC-28882/2020,UK,,2020-03-31,14.0,B.1.1.p11,0
,Wales/PHWC-249DE/2020,UK,,2020-03-17,12.0,B.1.1.p11,0
