taxon,lineage
Australia/VIC473/2020,B.1.1
Australia/VIC597/2020,B.1.1
Iceland/373/2020,B.1.1
Scotland/EDB383/2020,B.1.1
Iceland/396/2020,B.1.1
USA/MD-HP00093/2020,B.1.1
Brazil/BA-312/2020,B.1.1
Brazil/BA-510/2020,B.1.1
Argentina_PAIS/A027/2020,B.1.1
Spain/Valencia81/2020,B.1.1
Spain/Valencia136/2020,B.1.1
Switzerland/42202619/2020,B.1.1
Australia/VIC153/2020,B.1.1
Switzerland/42169171/2020,B.1.1
England/20138082104/2020,B.1.1
Spain/VH198152683/2020,B.1.1
Wales/PHWC-25612/2020,B.1.1
England/20126063203/2020,B.1.1
Wales/PHWC-27434/2020,B.1.1
Wales/PHWC-28697/2020,B.1.1
Hungary/SRC-00541/2020,B.1.1
Japan/Donner1/2020,B.1.1
England/CAMB-7632A/2020,B.1.1
Japan/Donner21/2020,B.1.1
Scotland/EDB3872/2020,B.1.1
England/CAMB-77B21/2020,B.1.1
England/CAMB-7584A/2020,B.1.1
England/CAMB-7C588/2020,B.1.1
Northern_Ireland/NIRE-FA9C2/2020,B.1.1
England/CAMB-7D8E8/2020,B.1.1
England/SHEF-CBB1F/2020,B.1.1
England/BRIS-124D4A/2020,B.1.1
England/LOND-D4A16/2020,B.1.1
Wales/PHWC-2EB38/2020,B.1.1
Wales/PHWC-32F80/2020,B.1.1
Israel/2047189/2020,B.1.1
Israel/2047188/2020,B.1.1
Spain/Valencia534/2020,B.1.1
Spain/Valencia580/2020,B.1.1
England/CAMB-1AE3CE/2020,B.1.1
England/SHEF-C5878/2020,B.1.1
Denmark/ALAB-HH-97/2020,B.1.1
Spain/COV001075/2020,B.1.1
Uruguay/UY-NYUMC873/2020,B.1.1
Northern_Ireland/NIRE-FBEFF/2020,B.1.1
Northern_Ireland/NIRE-FC939/2020,B.1.1
Northern_Ireland/NIRE-101754/2020,B.1.1
Northern_Ireland/NIRE-1015A5/2020,B.1.1
Scotland/GCVR-17027D/2020,B.1.1
England/NORT-288F3E/2020,B.1.1
USA/MN-MDH-93/2020,B.1.1
USA/MA-MGH-00615/2020,B.1.1
USA/MA-MGH-00091/2020,B.1.1
Singapore/249/2020,B.1.1
England/20169023204/2020,B.1.1
Switzerland/130012/2020,B.1.1
Switzerland/120229/2020,B.1.1
Switzerland/120230/2020,B.1.1
Switzerland/130020/2020,B.1.1
Switzerland/120040/2020,B.1.1
Spain/Zaragoza2476/2020,B.1.1
Spain/Zaragoza2420/2020,B.1.1
Japan/Donner29/2020,B.1.1
Netherlands_Diemen/1363454/2020,B.1.1
Netherlands_Delft/1363424/2020,B.1.1
Netherlands_Nootdorp/1364222/2020,B.1.1
Australia/VIC908/2020,B.1.1
Australia/VIC368/2020,B.1.1
Czech_Republic_IAB/14/2020,B.1.1
Czech_Republic/2122/2020,B.1.1
Czech_Republic/Seq5/2020,B.1.1
Nigeria/Lagos01/2020,B.1.1
USA/WA-UW-1552/2020,B.1.1
USA/WA-UW-1586/2020,B.1.1
Iceland/366/2020,B.1.1
Iceland/547/2020,B.1.1
Iceland/239/2020,B.1.1
Iceland/483/2020,B.1.1
Iceland/471/2020,B.1.1
Iceland/588/2020,B.1.1
Iceland/570/2020,B.1.1
England/20134006504/2020,B.1.1
Australia/VIC654/2020,B.1.1
Australia/VIC674/2020,B.1.1
England/CAMB-7468D/2020,B.1.1
Australia/VIC363/2020,B.1.1
England/CAMB-74B42/2020,B.1.1
England/20129017804/2020,B.1.1
England/20129035504/2020,B.1.1
England/20129035404/2020,B.1.1
England/20129061704/2020,B.1.1
Brazil/CV32/2020,B.1.1
England/CAMB-74EB2/2020,B.1.1
England/20129042504/2020,B.1.1
England/20129038404/2020,B.1.1
England/CAMB-74535/2020,B.1.1
USA/TX-HMH075/2020,B.1.1
England/EXET-136686/2020,B.1.1
USA/IL-NM018/2020,B.1.1
England/EXET-136765/2020,B.1.1
Scotland/EDB186/2020,B.1.1
England/EXET-137324/2020,B.1.1
England/EXET-137139/2020,B.1.1
Scotland/EDB629/2020,B.1.1
Scotland/EDB192/2020,B.1.1
England/EXET-1361D0/2020,B.1.1
England/CAMB-76FEA/2020,B.1.1
England/NOTT-10DF14/2020,B.1.1
England/20129173004/2020,B.1.1
Australia/VIC409/2020,B.1.1
England/CAMB-75534/2020,B.1.1
Australia/VIC443/2020,B.1.1
England/CAMB-755BC/2020,B.1.1
England/CAMB-7559E/2020,B.1.1
England/20140069004/2020,B.1.1
Wales/PHWC-26E19/2020,B.1.1
England/20140001704/2020,B.1.1
Belgium/ULG-10072/2020,B.1.1
Belgium/DHWM-03041/2020,B.1.1
Belgium/ULG-9714/2020,B.1.1
Belgium/ULG-10014/2020,B.1.1
Belgium/ULG-10082/2020,B.1.1
Belgium/ULG-10013/2020,B.1.1
Belgium/ULG-0186/2020,B.1.1
Belgium/Rega-0328187/2020,B.1.1
Belgium/ULG-3000/2020,B.1.1
Belgium/ULG-0190/2020,B.1.1
Belgium/BC-03016/2020,B.1.1
Belgium/ULG-10067/2020,B.1.1
Scotland/EDB275/2020,B.1.1
England/CAMB-7E2CB/2020,B.1.1
England/NORW-E88F7/2020,B.1.1
Sweden/20-51618/2020,B.1.1
England/20138077804/2020,B.1.1
Belgium/ULG-10093/2020,B.1.1
England/20138024204/2020,B.1.1
USA/AZ-ASU2923/2020,B.1.1
England/20138084904/2020,B.1.1
Wales/PHWC-26927/2020,B.1.1
England/20144007604/2020,B.1.1
Wales/PHWC-265BA/2020,B.1.1
Wales/PHWC-33A8E/2020,B.1.1
Wales/PHWC-33B9A/2020,B.1.1
England/20140073904/2020,B.1.1
England/20140071504/2020,B.1.1
England/20140070604/2020,B.1.1
England/20140069104/2020,B.1.1
England/20140069404/2020,B.1.1
England/20142018204/2020,B.1.1
Wales/PHWC-26C00/2020,B.1.1
England/20142012804/2020,B.1.1
England/20142026502/2020,B.1.1
England/20142023904/2020,B.1.1
England/20144003404/2020,B.1.1
Spain_Donostia-San/Sebastian2134/2020,B.1.1
Spain_Donostia-San/Sebastian2147/2020,B.1.1
England/20134028004/2020,B.1.1
England/20134027904/2020,B.1.1
England/20134072704/2020,B.1.1
England/20134068704/2020,B.1.1
England/20134064004/2020,B.1.1
Scotland/GCVR-170CCA/2020,B.1.1
England/20134058904/2020,B.1.1
England/201360016/2020,B.1.1
England/201360018/2020,B.1.1
Scotland/CVR21/2020,B.1.1
England/CAMB-772D1/2020,B.1.1
Scotland/CVR236/2020,B.1.1
England/20134019904/2020,B.1.1
England/20138015604/2020,B.1.1
England/20138007404/2020,B.1.1
England/20138018804/2020,B.1.1
Scotland/EDB038/2020,B.1.1
Scotland/EDB028/2020,B.1.1
Scotland/EDB018/2020,B.1.1
England/201360051/2020,B.1.1
England/20132020404/2020,B.1.1
England/201360047/2020,B.1.1
England/201360136/2020,B.1.1
England/201360137/2020,B.1.1
England/20136008004/2020,B.1.1
Scotland/EDB101/2020,B.1.1
England/BIRM-5F9AD/2020,B.1.1
Belgium/ULG-10102/2020,B.1.1
Belgium/ULG-10114/2020,B.1.1
Jordan/SR-033/2020,B.1.1
Belgium/ULG-10037/2020,B.1.1
Russia/StPetersburg-RII4307V/2020,B.1.1
Russia/StPetersburg-RII4308V/2020,B.1.1
Russia/Ulan-Ude-RII4560S/2020,B.1.1
USA/CT-UW-4345/2020,B.1.1
England/SHEF-BFD18/2020,B.1.1
USA/WI-UW-258/2020,B.1.1
France_Valence/425/2020,B.1.1
Northern_Ireland/NIRE-FC16E/2020,B.1.1
England/20099038206/2020,B.1.1
Australia/VIC850/2020,B.1.1
Australia/VIC851/2020,B.1.1
Australia/VIC858/2020,B.1.1
Australia/VIC1038/2020,B.1.1
Sweden/20-50360/2020,B.1.1
Sweden/20-50361/2020,B.1.1
Iceland/4/2020,B.1.1
Turkey/HSGM-8979/2020,B.1.1
Peru/010/2020,B.1.1
Netherlands_Overijssel/2/2020,B.1.1
Australia/NSW159/2020,B.1.1
England/BRIS-122DA6/2020,B.1.1
England/NORW-E8DDA/2020,B.1.1
England/20156042704/2020,B.1.1
Australia/NSW160/2020,B.1.1
Australia/NSW161/2020,B.1.1
Australia/VIC1012/2020,B.1.1
Australia/NSW156/2020,B.1.1
England/CAMB-743D1/2020,B.1.1
England/CAMB-74386/2020,B.1.1
England/CAMB-73ACE/2020,B.1.1
Spain_Donostia-San/Sebastian2092/2020,B.1.1
