taxon,lineage
England/NOTT-10E599/2020,A.2
Spain/Valencia19/2020,A.2
Australia/VIC565/2020,A.2
Australia/VIC585/2020,A.2
Australia/VIC601/2020,A.2
Australia/VIC584/2020,A.2
Australia/WA50/2020,A.2
Australia/VIC232/2020,A.2
Portugal/PT0119/2020,A.2
Australia/VIC256/2020,A.2
Australia/SAP035/2020,A.2
Australia/WA22/2020,A.2
Australia/SAP066/2020,A.2
Australia/WA39/2020,A.2
Australia/VIC599/2020,A.2
Australia/VIC277/2020,A.2
Australia/WA32/2020,A.2
Australia/WA29/2020,A.2
Australia/VIC244/2020,A.2
Australia/WA55/2020,A.2
Australia/SAP253/2020,A.2
Australia/WA52/2020,A.2
USA/WY-WYPHL-00024/2020,A.2
Australia/WA28/2020,A.2
Australia/WA46/2020,A.2
Australia/VIC304/2020,A.2
Australia/SAP293/2020,A.2
Australia/VIC647/2020,A.2
Australia/QLDID936/2020,A.2
Australia/VIC126/2020,A.2
Australia/SAP270/2020,A.2
New_Zealand/20VR2019/2020,A.2
Australia/VIC982/2020,A.2
Australia/VIC351/2020,A.2
Australia/VIC595/2020,A.2
Australia/VIC596/2020,A.2
Australia/VIC598/2020,A.2
Australia/VIC649/2020,A.2
Australia/VIC656/2020,A.2
Australia/VIC995/2020,A.2
Australia/VIC1406/2020,A.2
Australia/VIC1392/2020,A.2
Australia/VIC671/2020,A.2
Australia/VIC777/2020,A.2
Australia/VIC676/2020,A.2
Australia/VIC358/2020,A.2
Australia/VIC381/2020,A.2
Australia/NT08/2020,A.2
Australia/VIC415/2020,A.2
Australia/VIC433/2020,A.2
Australia/VIC890/2020,A.2
Australia/NSW200/2020,A.2
Australia/NSW240/2020,A.2
Australia/VIC892/2020,A.2
Australia/VIC1304/2020,A.2
USA/AZ-TG271862/2020,A.2
Australia/NSW184/2020,A.2
Australia/NSW557/2020,A.2
Australia/NSW504/2020,A.2
Australia/NSW178/2020,A.2
Australia/NSW285/2020,A.2
Australia/NSW550/2020,A.2
Australia/NSW328/2020,A.2
Australia/NSW193/2020,A.2
Australia/NSW288/2020,A.2
Australia/NSW188/2020,A.2
Australia/NSW230/2020,A.2
Australia/NSW248/2020,A.2
Australia/NSW183/2020,A.2
Australia/NSW272/2020,A.2
Australia/NSW187/2020,A.2
Australia/NSW191/2020,A.2
Australia/NSW180/2020,A.2
Australia/NSW186/2020,A.2
Australia/NSW185/2020,A.2
Australia/NSW181/2020,A.2
Australia/NSW182/2020,A.2
Australia/NSW547/2020,A.2
Australia/NSW177/2020,A.2
Australia/NSW514/2020,A.2
Australia/NSW199/2020,A.2
Australia/NSW208/2020,A.2
Australia/NSW209/2020,A.2
Australia/NSW202/2020,A.2
Australia/NSW194/2020,A.2
Australia/NSW203/2020,A.2
Australia/NSW195/2020,A.2
Australia/NSW190/2020,A.2
Australia/NSW189/2020,A.2
Australia/NSW205/2020,A.2
Australia/NSW197/2020,A.2
Australia/NSW204/2020,A.2
Australia/NSW192/2020,A.2
Australia/NSW198/2020,A.2
Australia/NSW201/2020,A.2
Australia/NSW196/2020,A.2
Australia/NSW207/2020,A.2
Australia/NSW206/2020,A.2
Australia/NSW211/2020,A.2
Australia/NSW212/2020,A.2
Australia/WA14/2020,A.2
Australia/WA51/2020,A.2
Australia/NSW179/2020,A.2
England/20139018302/2020,A.2
Australia/VIC1104/2020,A.2
Australia/VIC1103/2020,A.2
Australia/VIC978/2020,A.2
Australia/VIC1061/2020,A.2
Australia/VIC791/2020,A.2
Australia/VIC792/2020,A.2
Australia/VIC1325/2020,A.2
Australia/VIC769/2020,A.2
Australia/VIC1335/2020,A.2
Australia/VIC295/2020,A.2
