GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_417577,Iceland/249/2020,Iceland,,2020-03-17,12.0,A.1.1,1
EPI_ISL_417618,Iceland/29/2020,Iceland,USA,2020-03-16,12.0,A.1.1,1
EPI_ISL_417615,Iceland/287/2020,Iceland,USA,2020-03-18,12.0,A.1.1,1
EPI_ISL_424462,Iceland/438/2020,Iceland,,2020-03-20,12.0,A.1.1,0
EPI_ISL_424436,Iceland/412/2020,Iceland,,2020-03-19,12.0,A.1.1,0
EPI_ISL_424429,Iceland/405/2020,Iceland,,2020-03-19,12.0,A.1.1,0
EPI_ISL_417789,Iceland/136/2020,Iceland,USA,2020-03-12,11.0,A.1.1,0
EPI_ISL_417791,Iceland/140/2020,Iceland,USA,2020-03-12,11.0,A.1.1,0
EPI_ISL_417720,Iceland/138/2020,Iceland,USA,2020-03-12,11.0,A.1.1,0
EPI_ISL_417724,Iceland/182/2020,Iceland,USA,2020-03-16,12.0,A.1.1,0
EPI_ISL_417717,Iceland/195/2020,Iceland,USA,2020-03-16,12.0,A.1.1,0
EPI_ISL_417762,Iceland/191/2020,Iceland,USA,2020-03-16,12.0,A.1.1,0
EPI_ISL_417818,Iceland/190/2020,Iceland,USA,2020-03-16,12.0,A.1.1,0
EPI_ISL_417871,Iceland/9/2020,Iceland,USA,2020-03-11,11.0,A.1.1,0
