GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_420794,USA/OR_5430/2020,USA,,2020-03-01,10.0,B.2,1
EPI_ISL_419793,Australia/VIC81/2020,Australia,,2020-03-14,11.0,B.2.1,1
EPI_ISL_419792,Australia/VIC80/2020,Australia,,2020-03-14,11.0,B.2.1,1
EPI_ISL_419791,Australia/VIC79/2020,Australia,,2020-03-14,11.0,B.2.1,0
EPI_ISL_419797,Australia/VIC87/2020,Australia,,2020-03-15,12.0,B.2.1,1
EPI_ISL_419794,Australia/VIC82/2020,Australia,,2020-03-14,11.0,B.2.1,0
EPI_ISL_419799,Australia/VIC83/2020,Australia,,2020-03-14,11.0,B.2,1
EPI_ISL_419798,Australia/VIC88/2020,Australia,,2020-03-15,12.0,B.2.1,0
EPI_ISL_420799,Korea/BA-ACH_2604/2020,South_Korea,,2020-02-27,9.0,B.2,1
EPI_ISL_426902,Australia/NT14/2020,Australia,,2020-03-26,13.0,B.2.1,0
EPI_ISL_419723,Australia/VIC121/2020,Australia,,2020-03-18,12.0,B.2.2,0
EPI_ISL_419722,Australia/VIC120/2020,Australia,,2020-03-19,12.0,B.2.2,0
EPI_ISL_419721,Australia/VIC116/2020,Australia,,2020-03-19,12.0,B.2.1,0
EPI_ISL_419740,Australia/VIC21/2020,Australia,,2020-03-09,11.0,B.2.1,0
EPI_ISL_419744,Australia/VIC25/2020,Australia,,2020-03-10,11.0,B.2.2,0
EPI_ISL_419743,Australia/VIC23/2020,Australia,,2020-03-09,11.0,B.2.1,0
EPI_ISL_419738,Australia/VIC19/2020,Australia,,2020-03-08,11.0,B.2.2,0
EPI_ISL_419737,Australia/VIC18/2020,Australia,,2020-03-07,10.0,B.2.1,0
EPI_ISL_418405,Finland/14M20/2020,Finland,,2020-03-14,11.0,B.2.1,0
EPI_ISL_419729,Australia/VIC127/2020,Australia,,2020-03-20,12.0,B.2.1,0
EPI_ISL_418432,France/ARA11036/2020,France,,2020-03-18,12.0,B.2,0
EPI_ISL_419765,Australia/VIC36/2020,Australia,,2020-03-10,11.0,B.2,0
EPI_ISL_419759,Australia/VIC47/2020,Australia,,2020-03-12,11.0,B.2.1,0
EPI_ISL_419786,Australia/VIC70/2020,Australia,,2020-03-13,11.0,B.2,0
EPI_ISL_419773,Australia/VIC61/2020,Australia,,2020-03-13,11.0,B.2,0
EPI_ISL_419776,Australia/VIC55/2020,Australia,,2020-03-12,11.0,B.2,0
EPI_ISL_424224,USA/WA-UW-1745/2020,USA,,2020-03-21,12.0,B.2,0
EPI_ISL_424255,USA/UN-UW-1832/2020,USA,,2020-03-16,12.0,B.2,0
EPI_ISL_426817,Australia/VIC556/2020,Australia,,2020-03-25,13.0,B.2.1,0
EPI_ISL_426832,Australia/VIC572/2020,Australia,,2020-03-25,13.0,B.2.1,0
EPI_ISL_426843,Australia/VIC586/2020,Australia,,2020-03-24,13.0,B.2.1,0
EPI_ISL_418583,Ireland/24042/2020,Ireland,,2020-03-10,11.0,B.2,0
EPI_ISL_418582,Ireland/22901/2020,Ireland,,2020-03-10,11.0,B.2.1,0
EPI_ISL_419843,Australia/VIC146/2020,Australia,,2020-03-17,12.0,B.2.1,0
EPI_ISL_419842,Australia/VIC145/2020,Australia,,2020-03-17,12.0,B.2.5,1
EPI_ISL_419849,Australia/VIC152/2020,Australia,,2020-03-17,12.0,B.2,0
