GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_426958,Australia/VIC662/2020,Australia,,2020-03-27,13.0,A.1.3,1
EPI_ISL_426686,Australia/VIC379/2020,Australia,,2020-03-22,13.0,A.1.3,1
EPI_ISL_426730,Australia/VIC430/2020,Australia,,2020-03-26,13.0,A.1.3,0
EPI_ISL_427084,Australia/VIC810/2020,Australia,,2020-04-01,14.0,A.1.3,0
EPI_ISL_427059,Australia/VIC784/2020,Australia,,2020-03-30,14.0,A.1.3,0
EPI_ISL_430518,Australia/VIC1221/2020,Australia,,2020-04-01,14.0,A.1.3,0
EPI_ISL_430517,Australia/VIC1220/2020,Australia,,2020-04-01,14.0,A.1.3,0
EPI_ISL_430512,Australia/VIC1235/2020,Australia,,2020-04-02,14.0,A.1.3,0
EPI_ISL_430645,Australia/VIC953/2020,Australia,,2020-03-26,13.0,A.1.3,0
EPI_ISL_436101,Taiwan/TSGH-16/2020,Taiwan,,2020-03-19,12.0,A.1.3,1
