GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
,Scotland/CVR1840/2020,UK,,2020-04-07,15.0,B.1.1.13,1
,England/CAMB-82D3C/2020,UK,,2020-04-12,16.0,B.1.1.13,0
,England/CAMB-83849/2020,UK,,2020-04-13,16.0,B.1.1.13,0
,England/CAMB-82E2A/2020,UK,,2020-04-14,16.0,B.1.1.13,0
,England/CAMB-82E84/2020,UK,,2020-04-14,16.0,B.1.1.13,0
,England/CAMB-83B04/2020,UK,,2020-04-15,16.0,B.1.1.13,0
,England/CAMB-818E1/2020,UK,,2020-04-12,16.0,B.1.1.13,0
,England/CAMB-81B9D/2020,UK,,2020-04-11,15.0,B.1.1.13,0
,England/CAMB-819C0/2020,UK,,2020-04-10,15.0,B.1.1.13,0
,England/CAMB-7CA89/2020,UK,,2020-04-06,15.0,B.1.1.13,0
,England/CAMB-7D851/2020,UK,,2020-04-06,15.0,B.1.1.13,0
,England/CAMB-7D9A9/2020,UK,,2020-04-06,15.0,B.1.1.13,1
,Scotland/CVR1498/2020,UK,,2020-04-02,14.0,B.1.1.13,0
,England/CAMB-762D2/2020,UK,,2020-03-28,13.0,B.1.1.13,0
,England/CAMB-777A5/2020,UK,,2020-03-31,14.0,B.1.1.13,0
,England/CAMB-71CBB/2020,UK,,2020-03-30,14.0,B.1.1.13,1
