GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
,Wales/PHWC-32B40/2020,UK,,2020-04-14,16.0,B.1.1.p16,0
,Wales/PHWC-3313E/2020,UK,,2020-04-13,16.0,B.1.1.p16,0
,Wales/PHWC-33F70/2020,UK,,2020-04-16,16.0,B.1.1.p16,1
,Wales/PHWC-2E163/2020,UK,,2020-04-07,15.0,B.1.1.p16,0
,Wales/PHWC-31E84/2020,UK,,2020-04-06,15.0,B.1.1.p16,0
,Wales/PHWC-2E190/2020,UK,,2020-04-07,15.0,B.1.1.p16,0
,Wales/PHWC-31349/2020,UK,,2020-04-12,16.0,B.1.1.p16,1
,Wales/PHWC-317D4/2020,UK,,2020-04-13,16.0,B.1.1.p16,0
,Wales/PHWC-2EA1D/2020,UK,,2020-04-07,15.0,B.1.1.p16,0
,Wales/PHWC-2BEE7/2020,UK,,2020-04-10,15.0,B.1.1.p16,1
,Wales/PHWC-2BF3F/2020,UK,,2020-04-08,15.0,B.1.1.p16,0
