taxon,lineage
Portugal/CV63/2020,B.1.74
Portugal/PT0003/2020,B.1.74
Portugal/PT0004/2020,B.1.74
Portugal/PT0006a/2020,B.1.74
Portugal/PT0006b/2020,B.1.74
Portugal/PT0011/2020,B.1.74
Spain/Valencia64/2020,B.1.74
Spain/Valencia69/2020,B.1.74
Spain/Valencia77/2020,B.1.74
Spain/Valencia76/2020,B.1.74
Spain/Valencia97/2020,B.1.74
Spain/Valencia88/2020,B.1.74
Spain/Valencia86/2020,B.1.74
Spain/Valencia85/2020,B.1.74
Spain/Valencia17/2020,B.1.74
Portugal/PT0025/2020,B.1.74
Portugal/PT0027/2020,B.1.74
Spain/Valencia44/2020,B.1.74
Spain/Valencia47/2020,B.1.74
Spain/Valencia102/2020,B.1.74
Spain/Valencia106/2020,B.1.74
Spain/Valencia108/2020,B.1.74
Spain/Valencia109/2020,B.1.74
Spain/Valencia112/2020,B.1.74
Spain/Valencia114/2020,B.1.74
Spain/Valencia120/2020,B.1.74
Spain/Valencia121/2020,B.1.74
Spain/Valencia123/2020,B.1.74
Spain/Valencia137/2020,B.1.74
Spain/Valencia145/2020,B.1.74
Spain/Valencia175/2020,B.1.74
Spain/Valencia176/2020,B.1.74
Spain/Valencia181/2020,B.1.74
Spain/Valencia184/2020,B.1.74
Spain/Valencia186/2020,B.1.74
Spain/Valencia200/2020,B.1.74
Spain/Valencia213/2020,B.1.74
Spain/Valencia229/2020,B.1.74
Spain/Valencia233/2020,B.1.74
Spain/Valencia236/2020,B.1.74
Spain/Valencia248/2020,B.1.74
Spain/Valencia252/2020,B.1.74
Spain/Valencia253/2020,B.1.74
Spain/Valencia254/2020,B.1.74
Spain/Valencia255/2020,B.1.74
Spain/Valencia258/2020,B.1.74
Spain/Valencia267/2020,B.1.74
Spain/Valencia273/2020,B.1.74
Spain/Valencia301/2020,B.1.74
Spain/Valencia302/2020,B.1.74
Spain/Valencia313/2020,B.1.74
Chile/Santiago_11/2020,B.1.74
Chile/Santiago_48/2020,B.1.74
Switzerland/100799/2020,B.1.74
Portugal/PT0285/2020,B.1.74
Spain/CastillaLaMancha201306/2020,B.1.74
Spain/Gandia661/2020,B.1.74
Spain/Segorbe659/2020,B.1.74
Spain/Valencia621/2020,B.1.74
Spain/Valencia622/2020,B.1.74
