GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
,England/CAMB-1AC120/2020,UK,,2020-04-29,18.0,B.1.66,0
,England/CAMB-1AC14E/2020,UK,,2020-04-29,18.0,B.1.66,0
,England/CAMB-1AC0BA/2020,UK,,2020-04-28,18.0,B.1.66,0
,England/CAMB-1ABE93/2020,UK,,2020-04-28,18.0,B.1.66,0
,England/CAMB-83F80/2020,UK,,2020-04-26,18.0,B.1.66,0
,England/CAMB-82C99/2020,UK,,2020-04-23,17.0,B.1.66,0
,England/CAMB-82A9F/2020,UK,,2020-04-23,17.0,B.1.66,0
,England/CAMB-82BD8/2020,UK,,2020-04-24,17.0,B.1.66,0
,England/CAMB-81ED0/2020,UK,,2020-04-22,17.0,B.1.66,0
,England/CAMB-81104/2020,UK,,2020-04-20,17.0,B.1.66,0
,England/CAMB-80FDE/2020,UK,,2020-04-20,17.0,B.1.66,0
,England/CAMB-80FFC/2020,UK,,2020-04-20,17.0,B.1.66,0
,England/CAMB-7FC71/2020,UK,,2020-04-19,17.0,B.1.66,1
,England/CAMB-7E261/2020,UK,,2020-04-15,16.0,B.1.66,0
,England/CAMB-7E119/2020,UK,,2020-04-16,16.0,B.1.66,0
,England/CAMB-7E2F8/2020,UK,,2020-04-17,16.0,B.1.66,0
,England/CAMB-7FBCF/2020,UK,,2020-04-16,16.0,B.1.66,0
,England/CAMB-7C0A5/2020,UK,,2020-04-13,16.0,B.1.66,0
,England/CAMB-7B4D7/2020,UK,,2020-04-12,16.0,B.1.66,0
,England/CAMB-7B2FB/2020,UK,,2020-04-09,15.0,B.1.66,0
,England/CAMB-7B0B5/2020,UK,,2020-04-11,15.0,B.1.66,1
,England/CAMB-7B149/2020,UK,,2020-04-11,15.0,B.1.66,0
,England/CAMB-789CC/2020,UK,,2020-04-06,15.0,B.1.66,0
,England/CAMB-78689/2020,UK,,2020-04-06,15.0,B.1.66,0
,England/CAMB-784BC/2020,UK,,2020-04-06,15.0,B.1.66,0
,England/20140007604/2020,UK,,2020-03-29,14.0,B.1.66,0
,England/20140007602/2020,UK,,2020-03-29,14.0,B.1.66,0
,England/CAMB-73D01/2020,UK,,2020-04-02,14.0,B.1.66,0
,England/CAMB-73BBC/2020,UK,,2020-04-03,14.0,B.1.66,0
,England/CAMB-739D0/2020,UK,,2020-04-01,14.0,B.1.66,1
