taxon,lineage
USA/WA13-UW9/2020,A.1
USA/WA-UW-1708/2020,A.1
USA/WA-UW-1840/2020,A.1
USA/WA-S981/2020,A.1
USA/WA-S594/2020,A.1
USA/WA-UW290/2020,A.1
USA/WA-S595/2020,A.1
USA/CO-CDC-5780/2020,A.1
USA/WI-WSLH-200078/2020,A.1
USA/WA-UW-1731/2020,A.1
USA/WA-UW35/2020,A.1
USA/WA-UW36/2020,A.1
USA/WA-UW83/2020,A.1
USA/WA-UW26/2020,A.1
USA/WA-UW74/2020,A.1
USA/WA-UW234/2020,A.1
USA/CT-Yale-148/2020,A.1
USA/WA-UW-1709/2020,A.1
USA/WA-UW-1735/2020,A.1
USA/WA-UW-3814/2020,A.1
USA/WA-UW79/2020,A.1
USA/WA-UW316/2020,A.1
USA/WA-S510/2020,A.1
USA/WA-UW-4688/2020,A.1
USA/WA-UW-1591/2020,A.1
USA/WA9-UW6/2020,A.1
USA/WA-UW-1297/2020,A.1
USA/WA-UW-5750/2020,A.1
USA/WA-UW-4657/2020,A.1
USA/WA-UW-3900/2020,A.1
USA/WA-S590/2020,A.1
USA/WA-S593/2020,A.1
USA/WA8-UW5/2020,A.1
USA/WA-S7/2020,A.1
USA/WA-S48/2020,A.1
USA/WA2/2020,A.1
USA/WA-S42/2020,A.1
USA/WA-S254/2020,A.1
USA/WA-S47/2020,A.1
USA/WA-UW198/2020,A.1
USA/WA-UW-1702/2020,A.1
USA/WA-S492/2020,A.1
USA/WA-S485/2020,A.1
Puerto_Rico/CDC-S3/2020,A.1
USA/NC-CDC-6999/2020,A.1
USA/CA-CZB-1602/2020,A.1
USA/WA-S263/2020,A.1
USA/WA-S130/2020,A.1
Australia/VIC67/2020,A.1
USA/WA-S397/2020,A.1
USA/CA-CZB090/2020,A.1
USA_WA/0711/2020,A.1
USA/WA-S357/2020,A.1
USA/WA-UW-3858/2020,A.1
USA/WA-S256/2020,A.1
USA/WA-S524/2020,A.1
USA/WA-UW-2203/2020,A.1
USA/WA-S250/2020,A.1
USA/WA-S312/2020,A.1
USA/OR-UW-1851/2020,A.1
USA/MN-MDH-84/2020,A.1
USA/WA-S129/2020,A.1
USA/TX-HMH0144/2020,A.1
USA/WA-S423/2020,A.1
USA/WA-UW-3810/2020,A.1
USA/WA-S427/2020,A.1
USA/WA-S429/2020,A.1
USA/WA-S352/2020,A.1
USA/VT-CDC-0303/2020,A.1
USA/WA-S425/2020,A.1
USA/IL-NM0118/2020,A.1
USA/WA-S685/2020,A.1
USA/TX-HMH0285/2020,A.1
USA_NC/6999/2020,A.1
USA/WA-S440/2020,A.1
USA/WA-S990/2020,A.1
USA/WA-S546/2020,A.1
USA/WA-S301/2020,A.1
USA/MA-MGH-00517/2020,A.1
USA/WA-S123/2020,A.1
USA/WA-S280/2020,A.1
USA/WA-UW-1756/2020,A.1
USA/WA-S40/2020,A.1
USA/WA-S961/2020,A.1
USA/WA-S516/2020,A.1
USA/WA-S417/2020,A.1
USA/WA-S403/2020,A.1
USA/WA-S55/2020,A.1
USA/WA-S281/2020,A.1
USA/UN-UW-547/2020,A.1
USA/WA-S268/2020,A.1
USA/WA-S498/2020,A.1
USA/WA-S241/2020,A.1
USA/WA-S407/2020,A.1
USA/CA-QDX-48/2020,A.1
USA/CA-CZB-1224/2020,A.1
USA/NY-PV09433/2020,A.1
USA/WA-S321/2020,A.1
USA/WA-UW-542/2020,A.1
USA/WA-S351/2020,A.1
USA/WA-S126/2020,A.1
USA_UT/8199/2020,A.1
USA/WA-S486/2020,A.1
USA/WA-S163/2020,A.1
USA/WA-S248/2020,A.1
USA/WA-UW-1538/2020,A.1
USA/WA-S420/2020,A.1
USA/WA-S810/2020,A.1
USA/WA-UW-1347/2020,A.1
USA/WI-UW-167/2020,A.1
USA/WA-UW-1351/2020,A.1
USA/WA-S426/2020,A.1
USA/WA-UW-6186/2020,A.1
USA/WA-S415/2020,A.1
USA/TX-HMH0208/2020,A.1
USA/WA-S366/2020,A.1
USA/WA-UW37/2020,A.1
USA/WA-S504/2020,A.1
USA/WA-UW-1581/2020,A.1
USA/WA-S355/2020,A.1
USA/WA-S478/2020,A.1
USA/WA-S445/2020,A.1
USA/WA-S356/2020,A.1
USA/WA-UW41/2020,A.1
USA/WA-S235/2020,A.1
USA/WA-UW-4225/2020,A.1
USA/WA-S288/2020,A.1
USA/WA-S313/2020,A.1
USA/WA-S513/2020,A.1
USA/WA-S436/2020,A.1
USA/WA-UW-3850/2020,A.1
USA/WA-S287/2020,A.1
USA/WA-S985/2020,A.1
USA/WA-UW-1338/2020,A.1
USA/WA-S422/2020,A.1
USA/WA-UW-1295/2020,A.1
USA/CA-CZB0133/2020,A.1
USA/WA-S487/2020,A.1
USA/CA-SR0415/2020,A.1
USA/WA-S493/2020,A.1
USA/WA-S432/2020,A.1
USA/WA-S557/2020,A.1
USA/WA-S127/2020,A.1
USA/WA-UW-518/2020,A.1
USA/NY-SURV0472/2020,A.1
USA/WA-S402/2020,A.1
USA/WA-UW-5371/2020,A.1
USA/WA-S73/2020,A.1
USA/WA-S335/2020,A.1
USA/WA-S448/2020,A.1
USA/WA-UW249/2020,A.1
USA/WA-S234/2020,A.1
USA/IL-UW-1311/2020,A.1
USA/WA-S512/2020,A.1
USA/CA-SR0449/2020,A.1
USA/WA-S236/2020,A.1
USA/WA-S401/2020,A.1
USA/WA-UW-1860/2020,A.1
USA/CA-SR0404/2020,A.1
USA/WA-S411/2020,A.1
USA/WA-S193/2020,A.1
USA/WA-UW-4317/2020,A.1
USA/WA-UW-4226/2020,A.1
USA/WA-UW-524/2020,A.1
USA/WA-S520/2020,A.1
USA/WA-UW315/2020,A.1
USA/WA-UW-4690/2020,A.1
USA/WA-S430/2020,A.1
USA/CA-CZB-1093/2020,A.1
USA/WA-S360/2020,A.1
USA/CA-CZB039/2020,A.1
USA/WA-S329/2020,A.1
USA/WA-UW-602/2020,A.1
USA/WA-S277/2020,A.1
USA/WA-UW-1578/2020,A.1
USA/WA-UW-3895/2020,A.1
USA/WA-S405/2020,A.1
USA/CA-CZB015b/2020,A.1
USA/WA-UW-1308/2020,A.1
USA/WA-S358/2020,A.1
USA/WA-UW-4217/2020,A.1
USA/CA-CZB0737/2020,A.1
USA/CA-CZB-1097/2020,A.1
USA/WA-S240/2020,A.1
USA/CA-CZB0158/2020,A.1
USA/WA-S522/2020,A.1
USA/WA-S330/2020,A.1
USA/WA-S416/2020,A.1
USA/WA-S528/2020,A.1
USA/CA-QDX-84/2020,A.1
USA/WA-S635/2020,A.1
USA/WA-S542/2020,A.1
USA/WA-UW-4009/2020,A.1
USA/WA-UW-3985/2020,A.1
Canada_BC/3808524/2020,A.1
USA/WA-S506/2020,A.1
USA/WA-S391/2020,A.1
USA/WA-S142/2020,A.1
USA/CA-SR0460/2020,A.1
USA/WA-S249/2020,A.1
USA/NY-QDX-139/2020,A.1
USA/WA-S369/2020,A.1
USA/WA-S984/2020,A.1
USA/WA-UW-4221/2020,A.1
USA/CA-CZB036/2020,A.1
USA/WA-S400/2020,A.1
USA/WA-S585/2020,A.1
USA/WA-S156/2020,A.1
USA_WA/0422/2020,A.1
USA/CA-CZB079/2020,A.1
USA/WA-S953/2020,A.1
USA/WA-S949/2020,A.1
USA/WA-S399/2020,A.1
USA/CA-CZB0103/2020,A.1
USA_WA/0447/2020,A.1
USA/WA-S141/2020,A.1
USA/WA-UW-1562/2020,A.1
USA/WA-UW253/2020,A.1
USA/WA-UW-4061/2020,A.1
USA/WA-S286/2020,A.1
USA/WA-UW-1705/2020,A.1
USA/WA-UW-1744/2020,A.1
USA/WA-UW-1700/2020,A.1
USA/WA-UW-1729/2020,A.1
USA/WA-UW-1296/2020,A.1
USA/WA-UW157/2020,A.1
USA/WA-UW-596/2020,A.1
USA/WA-S264/2020,A.1
USA/WA-S283/2020,A.1
USA/WA-S219/2020,A.1
USA/WA-UW368/2020,A.1
USA/WA-UW378/2020,A.1
USA/WA-UW195/2020,A.1
USA/WA-UW205/2020,A.1
USA/WY-WYPHL001/2020,A.1
USA/WY-WYPHL011/2020,A.1
USA/WY-WYPHL012/2020,A.1
USA/WA-UW-1315/2020,A.1
USA/WA-UW289/2020,A.1
USA/WA-UW-6488/2020,A.1
USA/WA-UW-1695/2020,A.1
USA/WA-UW-1682/2020,A.1
USA/WA-UW-1473/2020,A.1
USA/WA-UW-1968/2020,A.1
USA/WA-S200/2020,A.1
USA/WA-S479/2020,A.1
USA/WA-S582/2020,A.1
USA/WA-S409/2020,A.1
USA/WA-UW319/2020,A.1
USA/WA-S315/2020,A.1
USA/WA-S170/2020,A.1
USA/WA-S308/2020,A.1
USA/WA-S328/2020,A.1
USA/WA-S394/2020,A.1
USA/WA-S952/2020,A.1
USA/WA-S812/2020,A.1
USA/WA-S410/2020,A.1
USA/WA-S960/2020,A.1
USA/WA-S808/2020,A.1
USA/WA-S497/2020,A.1
