taxon,lineage
Australia/VIC164/2020,B.1.5.3
Sweden/20-06813/2020,B.1.5.3
Taiwan/NTU25/2020,B.1.5.3
England/CAMB-82507/2020,B.1.5.3
England/CAMB-1AA3A4/2020,B.1.5.3
England/CAMB-7F38B/2020,B.1.5.3
England/CAMB-7F5B2/2020,B.1.5.3
England/CAMB-81AAF/2020,B.1.5.3
England/CAMB-7F831/2020,B.1.5.3
England/PHEC-1FA79/2020,B.1.5.3
England/CAMB-7C9E6/2020,B.1.5.3
England/PHEC-1DE24/2020,B.1.5.3
England/PHEC-1DE42/2020,B.1.5.3
England/PHEC-1DB87/2020,B.1.5.3
England/PHEC-1DBE1/2020,B.1.5.3
England/CAMB-7C166/2020,B.1.5.3
England/20149054004/2020,B.1.5.3
England/20149004804/2020,B.1.5.3
England/20149054104/2020,B.1.5.3
England/20148001404/2020,B.1.5.3
England/CAMB-7BFD6/2020,B.1.5.3
England/CAMB-76278/2020,B.1.5.3
England/CAMB-760F6/2020,B.1.5.3
England/20149012504/2020,B.1.5.3
England/CAMB-773A1/2020,B.1.5.3
England/CAMB-774AE/2020,B.1.5.3
England/20146004804/2020,B.1.5.3
England/CAMB-72B17/2020,B.1.5.3
England/201380057/2020,B.1.5.3
England/201380056/2020,B.1.5.3
England/20146004904/2020,B.1.5.3
England/20144012904/2020,B.1.5.3
England/201380055/2020,B.1.5.3
