GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_426697,Australia/VIC394/2020,Australia,,2020-03-24,13.0,B.1.1.7,1
EPI_ISL_419988,Australia/VIC297/2020,Australia,,2020-03-23,13.0,B.1.1.7,0
EPI_ISL_424531,Iceland/509/2020,Iceland,,2020-03-20,12.0,B.1.1.7,0
EPI_ISL_424530,Iceland/508/2020,Iceland,USA,2020-03-20,12.0,B.1.1.7,0
EPI_ISL_424562,Iceland/542/2020,Iceland,,2020-03-26,13.0,B.1.1.7,0
EPI_ISL_435124,United_Arab_Emirates/L0879/2020,United_Arab_Emirates,,2020-03-16,12.0,B.1.1.7,0
,Wales/PHWC-34337/2020,UK,,2020-04-17,16.0,B.1.1.7,0
,England/LIVE-9A86D/2020,UK,,2020-03-29,14.0,B.1.1.7,0
,England/LIVE-9B019/2020,UK,,2020-03-27,13.0,B.1.1.7,0
,England/PHEC-20F3A/2020,UK,,2020-04-16,16.0,B.1.1.7,0
,England/CAMB-1AC005/2020,UK,,2020-04-28,18.0,B.1.1.7,0
,England/CAMB-8309C/2020,UK,,2020-04-14,16.0,B.1.1.7,0
,England/CAMB-823B2/2020,UK,,2020-04-13,16.0,B.1.1.7,0
,Wales/PHWC-2EAB3/2020,UK,,2020-04-07,15.0,B.1.1.7,0
,England/BRIS-124973/2020,UK,,2020-03-26,13.0,B.1.1.7,0
,England/BRIS-124BC8/2020,UK,,2020-03-26,13.0,B.1.1.7,0
,England/CAMB-83D77/2020,UK,,2020-04-24,17.0,B.1.1.7,0
,England/LIVE-9BDB8/2020,UK,,2020-04-19,17.0,B.1.1.7,0
,England/OXON-AE990/2020,UK,,2020-04-07,15.0,B.1.1.7,0
,England/OXON-ADD59/2020,UK,,2020-04-05,15.0,B.1.1.7,0
,England/CAMB-82AAE/2020,UK,,2020-04-23,17.0,B.1.1.7,0
,England/CAMB-81C30/2020,UK,,2020-04-12,16.0,B.1.1.7,0
,England/CAMB-7E920/2020,UK,,2020-04-08,15.0,B.1.1.7,0
,England/PHEC-1E9C8/2020,UK,,2020-04-19,17.0,B.1.1.7,0
,England/PHEC-1E99B/2020,UK,,2020-04-19,17.0,B.1.1.7,0
