taxon,lineage
USA/CA-CZB-1014/2020,B.20
USA/CA-CZB-1044/2020,B.20
USA/CA-CZB-1045/2020,B.20
USA/CA-CZB-1047/2020,B.20
USA/CA-CZB-1059/2020,B.20
USA/CA-CZB-1060/2020,B.20
USA/CA-CZB-1061/2020,B.20
USA/CA-CZB-1062/2020,B.20
USA/CA-CZB-1064/2020,B.20
USA/CA-CZB-1065/2020,B.20
USA/CA-CZB-1076/2020,B.20
USA/CA-CZB-1077/2020,B.20
USA/CA-CZB-1078/2020,B.20
USA/CA-CZB-1080/2020,B.20
USA/CA-CZB-1083/2020,B.20
USA/CA-CZB-1084/2020,B.20
USA/CA-CZB-1085/2020,B.20
USA/CA-CZB-1086/2020,B.20
USA/CA-CZB-1087/2020,B.20
USA/CA-CZB-1088/2020,B.20
USA/CA-CZB-1090/2020,B.20
USA/CA-CZB-1091/2020,B.20
USA/CA-CZB-1092/2020,B.20
USA/CA-CZB-1235/2020,B.20
USA/CA-CZB-1236/2020,B.20
USA/CA-CZB-1237/2020,B.20
USA/CA-CZB-1238/2020,B.20
USA/CA-CZB-1239/2020,B.20
