GISAID ID,name,country,travel history,sample date,epiweek,lineage,representative
EPI_ISL_424907,USA/VA_6171/2020,USA,,2020-03-06,10.0,A.p7,1
EPI_ISL_420077,Senegal/618/2020,Senegal,,2020-03-20,12.0,A.p7,1
EPI_ISL_428893,Russia/Kabardino-Balkaria-80501/2020,Russia,,2020-03-23,13.0,A.p7,0
EPI_ISL_428898,Russia/Kabardino-Balkaria-80503/2020,Russia,,2020-03-23,13.0,A.p7,0
EPI_ISL_419713,USA/VA-DCLS-021/2020,USA,,2020-03-11,11.0,A.p7,0
EPI_ISL_437317,Turkey/HSGM-1027/2020,Turkey,Saudia_Arabia,2020-03-27,13.0,A.p7,0
EPI_ISL_437441,India/GBRC13/2020,India,,2020-04-26,18.0,A.p7,0
EPI_ISL_437443,India/GBRC15/2020,India,,2020-04-27,18.0,A.p7,0
EPI_ISL_437459,Saudi_Arabia/KAUST-Makkah03/2020,Saudi_Arabia,,2020-03-23,13.0,A.p7,1
EPI_ISL_437460,Saudi_Arabia/KAUST-Makkah04/2020,Saudi_Arabia,,2020-03-23,13.0,A.p7,0
EPI_ISL_437461,Saudi_Arabia/KAUST-Makkah05/2020,Saudi_Arabia,,2020-03-23,13.0,A.p7,0
EPI_ISL_437462,Saudi_Arabia/KAUST-Makkah06/2020,Saudi_Arabia,,2020-03-23,13.0,A.p7,0
EPI_ISL_437465,Saudi_Arabia/KAUST-Makkah12/2020,Saudi_Arabia,,2020-03-23,13.0,A.p7,0
EPI_ISL_437466,Saudi_Arabia/KAUST-Makkah13/2020,Saudi_Arabia,,2020-03-23,13.0,A.p7,0
EPI_ISL_437467,Saudi_Arabia/KAUST-Makkah18/2020,Saudi_Arabia,,2020-03-23,13.0,A.p7,0
EPI_ISL_437475,Saudi_Arabia/KAUST-Jeddah64/2020,Saudi_Arabia,,2020-04-01,14.0,A.p7,0
EPI_ISL_437484,Saudi_Arabia/KAUST-Madinah27/2020,Saudi_Arabia,,2020-03-29,14.0,A.p7,0
EPI_ISL_437698,Saudi_Arabia/KAUST-Makkah166/2020,Saudi_Arabia,,2020-04-09,15.0,A.p7,0
EPI_ISL_437701,Saudi_Arabia/KAUST-Makkah178/2020,Saudi_Arabia,,2020-04-14,16.0,A.p7,0
EPI_ISL_437705,Saudi_Arabia/KAUST-Makkah188/2020,Saudi_Arabia,,2020-04-14,16.0,A.p7,0
EPI_ISL_437722,Saudi_Arabia/KAUST-Makkah225/2020,Saudi_Arabia,,2020-04-16,16.0,A.p7,0
EPI_ISL_437725,Saudi_Arabia/KAUST-Makkah229/2020,Saudi_Arabia,,2020-04-16,16.0,A.p7,0
EPI_ISL_437727,Saudi_Arabia/KAUST-Makkah231/2020,Saudi_Arabia,,2020-04-16,16.0,A.p7,0
EPI_ISL_437757,Saudi_Arabia/KAUST-Jeddah70/2020,Saudi_Arabia,,2020-04-01,14.0,A.p7,0
EPI_ISL_437759,Saudi_Arabia/KAUST-Jeddah75/2020,Saudi_Arabia,,2020-04-01,14.0,A.p7,0
EPI_ISL_437760,Saudi_Arabia/KAUST-Jeddah76/2020,Saudi_Arabia,,2020-04-01,14.0,A.p7,0
EPI_ISL_437761,Saudi_Arabia/KAUST-Makkah90/2020,Saudi_Arabia,,2020-04-02,14.0,A.p7,0
